,EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
1472,5003,30.0,Travel_Rarely,852.0,Research & Development,1.0,1.0,Life Sciences,1.0,4.0,Male,55.0,2.0,2.0,Laboratory Technician,4.0,Married,5126.0,15998.0,1.0,Y,Yes,12.0,3.0,3.0,80.0,2.0,10.0,1.0,2.0,10.0,8.0,8080.0,0.0,No
1476,5007,28.0,Travel_Rarely,1117.0,Research & Development,8.0,2.0,Life Sciences,1.0,4.0,Female,66.0,3.0,1.0,Research Scientist,4.0,Single,3310.0,4488.0,1.0,Y,No,21.0,4.0,4.0,80.0,0.0,5.0,3.0,3.0,5.0,3.0,0.0,2.0,No
1480,5011,8825.0,Travel_Rarely,1107.0,Human Resources,9.0,4.0,Technical Degree,1.0,1.0,Female,52.0,3.0,1.0,Human Resources,3.0,Married,2742.0,3072.0,1.0,Y,No,15.0,3.0,4.0,80.0,0.0,2.0,0.0,3.0,2.0,2.0,2.0,2.0,Yes
1482,5013,32.0,Travel_Rarely,1018.0,Research & Development,629986.0,2.0,Life Sciences,1.0,3.0,Female,39.0,3.0,3.0,Research Director,4.0,Single,11159.0,19373.0,3.0,Y,No,15.0,3.0,4.0,80.0,0.0,10.0,6.0,3.0,7.0,7.0,7.0,7.0,Yes
1483,5014,32.0,Travel_Rarely,1018.0,Research & Development,629986.0,2.0,Life Sciences,1.0,3.0,Female,39.0,3.0,3.0,Research Director,4.0,Single,11159.0,19373.0,3.0,Y,No,15.0,3.0,4.0,80.0,0.0,10.0,6.0,3.0,7.0,7.0,7.0,7.0,Yes
1484,5015,42.0,Travel_Rarely,269.0,Research & Development,2.0,3.0,Medical,1.0,4.0,Female,56.0,2.0,1.0,Laboratory Technician,1.0,Divorced,2593.0,8007.0,0.0,Y,Yes,11.0,3.0,3.0,80.0,1.0,10.0,4.0,3.0,9.0,6.0,7.0,8.0,No
1487,5018,34.0,Travel_Frequently,296.0,Sales,6.0,2.0,Marketing,1.0,4.0,Female,33.0,1.0,1.0,Sales Representative,3.0,Divorced,2351.0,12253.0,0.0,Y,No,16.0,3.0,4.0,80.0,1.0,2764.0,3.0,2.0,2.0,2.0,1.0,0.0,No
1490,5021,48.0,Travel_Rarely,855.0,Research & Development,4.0,3.0,Life Sciences,1.0,4.0,Male,54.0,3.0,3.0,Manufacturing Director,4.0,Single,7898.0,18706.0,1.0,Y,No,11.0,3.0,3.0,80.0,0.0,11.0,2.0,3.0,10.0,9.0,0.0,1798.0,Yes
1492,5023,28.0,Travel_Rarely,1181.0,Research & Development,1.0,3.0,Life Sciences,1.0,3.0,Male,82.0,3.0,1.0,Research Scientist,4.0,Married,2044.0,5531.0,1.0,Y,No,11.0,3.0,3.0,80.0,1.0,4370.0,6.0,4.0,5.0,3.0,0.0,3.0,Yes
1497,5028,38.0,Travel_Rarely,827.0,Research & Development,1.0,4.0,Life Sciences,1.0,2.0,Female,33.0,4.0,2.0,Healthcare Representative,4.0,Single,7625.0,19383.0,0.0,Y,No,13.0,3.0,3.0,80.0,0.0,10.0,4.0,2.0,9.0,7.0,3720.0,8.0,Yes
1501,5032,43.0,Travel_Rarely,244.0,Human Resources,887003.0,3.0,Life Sciences,1.0,2.0,Male,97.0,3.0,1.0,Human Resources,4.0,Single,3539.0,5033.0,0.0,Y,No,13.0,3.0,2.0,80.0,0.0,10.0,5.0,3.0,9.0,7.0,1.0,8.0,Yes
